Code INSEE région,Région,Nature,Date,Heure,Date - Heure,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Column 30
11,Île-de-France,Données définitives,2024-01-01,00:00,2023-12-31T23:00:00+00:00,7843.0,197.0,0.0,126,0.0,1.0,0.0,142.0,7379.0,0.0,0.0,0.0,0.0,2.51,9.14,0.0,,1.61,86.9,0.0,0.0,0.01,5.26,1.81,43.96,
32,Hauts-de-France,Données définitives,2024-01-01,00:00,2023-12-31T23:00:00+00:00,5497.0,398.0,3349.0,5445,0.0,2.0,0.0,126.0,-3820.0,0.0,0.0,0.0,0.0,7.24,16.54,60.92,61.34,99.05,89.53,0.0,0.0,0.04,50.0,2.29,62.07,
32,Hauts-de-France,Données définitives,2024-01-01,00:30,2023-12-31T23:30:00+00:00,5432.0,344.0,3149.0,5447,0.0,2.0,0.0,135.0,-3647.0,0.0,0.0,5447.0,0.0,6.33,14.29,57.97,57.67,100.28,89.56,0.0,0.0,0.04,50.0,2.49,66.5,
11,Île-de-France,Données définitives,2024-01-01,00:30,2023-12-31T23:30:00+00:00,8083.0,197.0,0.0,125,0.0,1.0,0.0,145.0,7616.0,0.0,0.0,125.0,0.0,2.44,9.14,0.0,,1.55,86.21,0.0,0.0,0.01,5.26,1.79,44.89,
32,Hauts-de-France,Données définitives,2024-01-01,01:00,2024-01-01T00:00:00+00:00,5295.0,394.0,3103.0,5445,0.0,2.0,0.0,141.0,-3790.0,0.0,0.0,5445.0,0.0,7.44,16.37,58.6,56.83,102.83,89.53,0.0,0.0,0.04,50.0,2.66,69.46,
11,Île-de-France,Données définitives,2024-01-01,01:00,2024-01-01T00:00:00+00:00,7814.0,197.0,0.0,126,0.0,1.0,0.0,144.0,7347.0,0.0,0.0,126.0,0.0,2.52,9.14,0.0,,1.61,86.9,0.0,0.0,0.01,5.26,1.84,44.58,
32,Hauts-de-France,Données définitives,2024-01-01,01:30,2024-01-01T00:30:00+00:00,5350.0,358.0,3119.0,5382,0.0,2.0,0.0,143.0,-3653.0,0.0,0.0,5382.0,0.0,6.69,14.87,58.3,57.12,100.6,88.49,0.0,0.0,0.04,50.0,2.67,70.44,
11,Île-de-France,Données définitives,2024-01-01,01:30,2024-01-01T00:30:00+00:00,7627.0,197.0,0.0,127,0.0,1.0,0.0,141.0,7161.0,0.0,0.0,127.0,0.0,2.58,9.14,0.0,,1.67,87.59,0.0,0.0,0.01,5.26,1.85,43.65,
11,Île-de-France,Données définitives,2024-01-01,02:00,2024-01-01T01:00:00+00:00,7457.0,199.0,0.0,123,0.0,1.0,0.0,143.0,6991.0,0.0,0.0,123.0,0.0,2.67,9.23,0.0,,1.65,84.83,0.0,0.0,0.01,5.26,1.92,44.27,
32,Hauts-de-France,Données définitives,2024-01-01,02:00,2024-01-01T01:00:00+00:00,5325.0,383.0,3109.0,5382,0.0,2.0,0.0,141.0,-3690.0,0.0,0.0,5382.0,0.0,7.19,15.91,58.38,56.94,101.07,88.49,0.0,0.0,0.04,50.0,2.65,69.46,
32,Hauts-de-France,Données définitives,2024-01-01,02:30,2024-01-01T01:30:00+00:00,5228.0,369.0,3151.0,5306,0.0,2.0,0.0,140.0,-3741.0,0.0,0.0,5306.0,0.0,7.06,15.33,60.27,57.71,101.49,87.24,0.0,0.0,0.04,50.0,2.68,68.97,
11,Île-de-France,Données définitives,2024-01-01,02:30,2024-01-01T01:30:00+00:00,7362.0,199.0,0.0,121,0.0,1.0,0.0,144.0,6897.0,0.0,0.0,121.0,0.0,2.7,9.23,0.0,,1.64,83.45,0.0,0.0,0.01,5.26,1.96,44.58,
11,Île-de-France,Données définitives,2024-01-01,03:00,2024-01-01T02:00:00+00:00,7209.0,199.0,0.0,116,0.0,1.0,0.0,143.0,6750.0,0.0,0.0,116.0,0.0,2.76,9.23,0.0,,1.61,80.0,0.0,0.0,0.01,5.26,1.98,44.27,
32,Hauts-de-France,Données définitives,2024-01-01,03:00,2024-01-01T02:00:00+00:00,5133.0,408.0,3131.0,4760,0.0,2.0,0.0,142.0,-3310.0,0.0,0.0,4760.0,0.0,7.95,16.95,61.0,57.34,92.73,78.26,0.0,0.0,0.04,50.0,2.77,69.95,
32,Hauts-de-France,Données définitives,2024-01-01,03:30,2024-01-01T02:30:00+00:00,4880.0,374.0,3148.0,3394,0.0,2.0,0.0,142.0,-2178.0,0.0,0.0,3394.0,0.0,7.66,15.54,64.51,57.66,69.55,55.8,0.0,0.0,0.04,50.0,2.91,69.95,
11,Île-de-France,Données définitives,2024-01-01,03:30,2024-01-01T02:30:00+00:00,7147.0,199.0,0.0,97,0.0,1.0,0.0,142.0,6710.0,0.0,0.0,97.0,0.0,2.78,9.23,0.0,,1.36,66.9,0.0,0.0,0.01,5.26,1.99,43.96,
32,Hauts-de-France,Données définitives,2024-01-01,04:00,2024-01-01T03:00:00+00:00,4849.0,368.0,3123.0,3262,0.0,2.0,0.0,142.0,-2046.0,0.0,0.0,3262.0,0.0,7.59,15.29,64.41,57.2,67.27,53.63,0.0,0.0,0.04,50.0,2.93,69.95,
11,Île-de-France,Données définitives,2024-01-01,04:00,2024-01-01T03:00:00+00:00,7064.0,199.0,0.0,91,0.0,1.0,0.0,141.0,6633.0,0.0,0.0,91.0,0.0,2.82,9.23,0.0,,1.29,62.76,0.0,0.0,0.01,5.26,2.0,43.65,
